SummitCode,SummitName,Longitude,Latitude,Points
G/LD-052,Hutton Roof Crags,-2.68044,54.19141,1
G/LD-053,Claife Heights,-2.95265,54.36786,1
G/LD-054,Watch Hill,-3.30415,54.67445,1
G/LD-056,Whitbarrow - Lord's Seat,-2.85883,54.276,1
G/LD-057,Swinside,-3.17248,54.59153,1
G/LD-058,Arnside Knott,-2.83503,54.19019,1
G/LD-059,Muncaster Fell,-3.36314,54.37582,1
G/NP-001,Cross Fell,-2.48694,54.70309,8
G/NP-002,Mickle Fell,-2.30188,54.6157,6
G/NP-003,Burnhope Seat,-2.33626,54.73258,6
G/NP-004,Whernside,-2.40201,54.22895,6
G/NP-005,Ingleborough,-2.39782,54.16643,6
G/NP-006,Great Shunner Fell,-2.23452,54.37089,6
G/NP-007,Wild Boar Fell,-2.37411,54.3841,6
G/NP-008,Great Whernside,-1.99836,54.16105,6
G/NP-009,Buckden Pike,-2.0616,54.20486,6
G/NP-010,Pen-y-ghent,-2.24874,54.15601,4
G/NP-011,Great Coum,-2.46056,54.24707,4
G/NP-012,Baugh Fell - Tarn Rigg Hill,-2.39985,54.31974,4
G/NP-013,The Calf,-2.51335,54.36784,4
G/NP-014,Rogan's Seat,-2.12591,54.42294,4
G/NP-015,Great Knoutberry Hill,-2.32609,54.27965,4
G/NP-016,Dodd Fell Hill,-2.24557,54.25668,4
G/NP-017,Fountains Fell,-2.20941,54.13993,4
G/NP-018,Nine Standards Rigg,-2.27036,54.4499,4
G/NP-019,Yarlside,-2.48544,54.38132,4
G/NP-020,Cold Fell,-2.61625,54.89391,4
G/NP-022,Calf Top,-2.51661,54.26518,4
G/NP-023,Aye Gill Pike,-2.43063,54.29238,2
G/NP-024,Hoove,-1.99872,54.45761,2
G/NP-026,Kisdon,-2.15689,54.39405,1
G/NP-027,Dufton Pike,-2.46647,54.6339,1
G/NP-028,Rombalds Moor,-1.82694,53.90307,1
G/NP-029,Sharp Haw,-2.06333,53.99347,1
G/NP-031,Birks Fell,-2.12594,54.18296,4
G/NP-032,Cracoe Fell,-2.012,54.02553,2
G/SB-001,The Cheviot,-2.14544,55.47847,8
G/SB-004,Peel Fell,-2.5906,55.2902,4
G/SB-005,Sighty Crag,-2.62663,55.12109,2
G/SB-006,Shillhope Law,-2.20182,55.38092,2
G/SB-007,Tosson Hill,-1.99395,55.27836,1
G/SB-008,Long Crag,-1.90369,55.35664,1
G/SB-009,Ros Castle,-1.87321,55.52158,1
G/SB-010,Housedon Hill,-2.15675,55.58796,1
G/SC-001,Dunkery Beacon,-3.58673,51.16279,2
G/SC-002,Wills Neck,-3.19371,51.10958,1
G/SC-003,Beacon Batch,-2.74082,51.31215,1
G/SC-004,Staple Hill,-3.08257,50.94454,1
G/SC-005,Selworthy Beacon,-3.54951,51.22082,1
G/SC-006,Periton Hill,-3.50877,51.18691,1
G/SC-007,Long Knoll,-2.30714,51.13775,1
G/SC-008,Win Green,-2.108,50.98558,1
G/SC-009,Lewesdon Hill,-2.79935,50.80732,1
G/SC-010,Dundry Down,-2.64337,51.39774,1
G/SC-011,Hardown Hill,-2.84428,50.74497,1
G/SC-013,Nine Barrow Down,-1.98937,50.63048,1
G/SE-001,Walbury Hill,-1.46508,51.35249,1
G/SE-002,Leith Hill,-0.37144,51.1765,1
G/SE-003,Black Down,-0.68938,51.05863,1
G/SE-004,Butser Hill,-0.98028,50.97784,1
G/SE-005,Botley Hill,-0.01262,51.27884,1
G/SE-006,Ditchling Beacon,-0.10763,50.90174,1
G/SE-007,Crowborough,0.15387,51.0551,1
G/SE-008,St Boniface Down,-1.19759,50.60357,1
G/SE-009,Chanctonbury Ring,-0.38222,50.89658,1
G/SE-010,Firle Beacon,0.10815,50.83379,1
G/SE-011,Wilmington Hill,0.19654,50.80982,1
G/SE-012,Brighstone Down,-1.38955,50.6606,1
G/SE-013,Detling Hill,0.58556,51.29848,1
G/SE-014,Cliffe Hill,0.03703,50.87811,1
G/SP-001,Kinder Scout,-1.87391,53.38481,4
G/SP-002,Black Hill,-1.88531,53.53801,2
G/SP-003,Ward's Stone,-2.62434,54.02302,2
G/SP-004,Shining Tor,-2.00947,53.26073,2
G/SP-005,Pendle Hill,-2.29857,53.86856,2
G/SP-006,White Hill,-2.49928,54.02409,2
G/SP-007,Fair Snape Fell,-2.61485,53.91993,2
G/SP-008,Boulsworth Hill - Lad Law,-2.10825,53.81692,2
G/SP-009,Hail Storm Hill,-2.25126,53.67034,1
G/SP-010,Winter Hill,-2.51576,53.6299,1
G/SP-011,Freeholds Top,-2.14384,53.69328,1
G/SP-012,Easington Fell,-2.41231,53.93359,1
G/SP-013,Gun,-2.04622,53.15078,1
G/SP-014,Longridge Fell - Spire Hill,-2.52157,53.86463,1
G/SP-015,The Cloud,-2.1447,53.17037,1
G/SP-017,Billinge Hill,-2.71685,53.50767,1
G/TW-001,Urra Moor - Round Hill,-1.08592,54.40637,1
G/TW-002,Cringle Moor - Drake Howe,-1.17322,54.41927,1
G/TW-003,Gisborough Moor,-1.02489,54.50308,1
G/TW-004,Bishop Wilton Wold,-0.74771,54.00271,1
G/TW-005,Normanby Top,-0.31316,53.45306,1
G/WB-002,Brown Clee Hill,-2.59958,52.47673,2
G/WB-003,Stiperstones,-2.93486,52.58192,2
G/WB-004,Titterstone Clee Hill,-2.60196,52.39805,2
G/WB-005,Long Mynd - Pole Bank,-2.86378,52.54467,2
G/WB-006,Caer Caradoc Hill,-2.77212,52.55384,1
G/WB-007,Heath Mynd,-2.98103,52.5406,1
G/WB-008,Hergest Ridge,-3.0924,52.19951,1
G/WB-009,Worcestershire Beacon,-2.33895,52.10494,1
G/WB-010,The Wrekin,-2.55104,52.67023,1
G/WB-011,Bradnor Hill,-3.05192,52.21949,1
G/WB-012,High Vinnalls,-2.76782,52.34722,1
G/WB-013,Garway Hill,-2.82029,51.92128,1
G/WB-014,Burrow,-2.91189,52.44222,1
G/WB-015,Callow Hill,-2.79506,52.46083,1
G/WB-016,Wapley Hill,-2.95731,52.25629,1
